size,estimand,B,boot_mean,lo,hi,cluster
8M,er_real_share,2000,0.2994931826135122,0.15049401079668456,0.44835874839458295,task
8M,noise_share,2000,0.25071810046223264,0.13006290503417758,0.38098181415845284,task
8M,discord_share,2000,0.7492818995377672,0.6190181858415471,0.8699370949658223,task
10M,exp_errors,2000,1072.973053,781.3482125,1332.3151249999999,task
10M,mean_p_flip,2000,0.3313546614870007,0.2397584900758889,0.4169535904728961,task
10M,nas_weighted,2000,0.4411423812561375,0.36485428344512444,0.5084025865249581,task
10M,er_real_share,2000,0.2937559648616497,0.14409433209223316,0.44328881417730504,task
10M,noise_share,2000,0.38828303589882623,0.22897827380594146,0.577820072978813,task
10M,discord_share,2000,0.6117169641011737,0.4221799270211869,0.7710217261940585,task
14M,exp_errors,2000,995.172735625,700.4337374999999,1302.1357562499998,task
14M,mean_p_flip,2000,0.3073644230650934,0.23020342426822843,0.3751077267778613,task
14M,nas_weighted,2000,0.41838417929522576,0.37425330776933896,0.4769030130147167,task
14M,er_real_share,2000,0.2604245733156557,0.13097274036239212,0.4104564909707177,task
14M,noise_share,2000,0.3796295538631921,0.2817929577952509,0.5226918438250273,task
14M,discord_share,2000,0.6203704461368079,0.47730815617497246,0.7182070422047493,task
16M,exp_errors,2000,1051.4944950000001,729.7403437500001,1394.2357625,task
16M,mean_p_flip,2000,0.28230826865191794,0.2083921373030487,0.35476763162334635,task
16M,nas_weighted,2000,0.34981544155348804,0.2967490037127633,0.4080555777920553,task
16M,er_real_share,2000,0.2820593686899763,0.13797473186723563,0.46958880495707306,task
16M,noise_share,2000,0.2381284533503794,0.17097519252180207,0.3209906236366026,task
16M,discord_share,2000,0.7618715466496206,0.6790093763633973,0.8290248074781976,task
20M,exp_errors,2000,1047.517087875,736.6264375,1391.3865312499997,task
20M,mean_p_flip,2000,0.27661282583160857,0.19930346993666925,0.35104769964406146,task
20M,nas_weighted,2000,0.3778548589949185,0.28982800336169706,0.459892527810098,task
20M,er_real_share,2000,0.27019744824294245,0.12632753198875116,0.4579677028379721,task
20M,noise_share,2000,0.279537819958755,0.1467683541721256,0.44237868536044606,task
20M,discord_share,2000,0.7204621800412448,0.5576213146395541,0.8532316458278745,task
60M,exp_errors,2000,917.681684,645.9503874999999,1193.3393875000002,task
60M,mean_p_flip,2000,0.22986637874016716,0.14212943078492235,0.3237553019554678,task
60M,nas_weighted,2000,0.35936747277562636,0.2555281284855724,0.4495354195494146,task
60M,er_real_share,2000,0.21987381197905495,0.09099555921973992,0.3786304938347252,task
60M,noise_share,2000,0.26327229989657047,0.13901742973009532,0.3974837327624501,task
60M,discord_share,2000,0.7367277001034295,0.60251626723755,0.8609825702699044,task
90M,exp_errors,2000,760.75308875,510.88178125,1022.5166062499999,task
90M,mean_p_flip,2000,0.20710710758417883,0.13069159500032684,0.2946213636231547,task
90M,nas_weighted,2000,0.39413567743657313,0.30015304083636657,0.4754290370872021,task
90M,er_real_share,2000,0.1434949812181866,0.06549312367837742,0.2422983837623398,task
90M,noise_share,2000,0.31654663293748614,0.15940490388489448,0.4983296518645735,task
