task,size,n_pairs,errors,err_any_unstable,share_err_any_unstable,share_pairs_unstable,acc
hellaswag,14M,299,183,129,0.7049180327868853,0.7090301003344481,0.3879598662207358
hellaswag,16M,299,161,91,0.5652173913043478,0.5785953177257525,0.46153846153846156
hellaswag,20M,299,213,101,0.47417840375586856,0.5484949832775919,0.28762541806020064
hellaswag,60M,299,153,51,0.3333333333333333,0.3712374581939799,0.4882943143812709
hellaswag,90M,299,112,44,0.39285714285714285,0.30434782608695654,0.6254180602006689
hellaswag,150M,299,86,33,0.38372093023255816,0.2809364548494983,0.7123745819397993
hellaswag,300M,299,41,23,0.5609756097560976,0.2140468227424749,0.862876254180602
hellaswag,530M,299,25,13,0.52,0.14046822742474915,0.9163879598662207
hellaswag,750M,299,25,17,0.68,0.16722408026755853,0.9163879598662207
mmlu,4M,300,155,113,0.7290322580645161,0.7133333333333334,0.48333333333333334
mmlu,6M,300,73,56,0.7671232876712328,0.55,0.7566666666666667
mmlu,8M,300,58,47,0.8103448275862069,0.5166666666666667,0.8066666666666666
mmlu,10M,300,48,43,0.8958333333333334,0.48333333333333334,0.84
mmlu,14M,300,42,27,0.6428571428571429,0.36,0.86
mmlu,16M,300,44,36,0.8181818181818182,0.33666666666666667,0.8533333333333334
mmlu,20M,300,47,29,0.6170212765957447,0.2866666666666667,0.8433333333333334
mmlu,60M,300,47,35,0.7446808510638298,0.24666666666666667,0.8433333333333334
mmlu,90M,300,29,22,0.7586206896551724,0.23333333333333334,0.9033333333333333
mmlu,150M,300,26,20,0.7692307692307693,0.19333333333333333,0.9133333333333333
mmlu,300M,300,29,22,0.7586206896551724,0.16333333333333333,0.9033333333333333
mmlu,530M,300,14,10,0.7142857142857143,0.12666666666666668,0.9533333333333334
mmlu,750M,300,19,16,0.8421052631578947,0.18,0.9366666666666666
openbookqa,4M,300,148,135,0.9121621621621622,0.8666666666666667,0.5066666666666667
openbookqa,6M,300,113,95,0.8407079646017699,0.7966666666666666,0.6233333333333333
openbookqa,8M,300,92,81,0.8804347826086957,0.8066666666666666,0.6933333333333334
openbookqa,10M,300,124,114,0.9193548387096774,0.8766666666666667,0.5866666666666667
openbookqa,14M,300,88,77,0.875,0.79,0.7066666666666667
openbookqa,16M,300,103,83,0.8058252427184466,0.7166666666666667,0.6566666666666666
openbookqa,20M,300,92,84,0.9130434782608695,0.7233333333333334,0.6933333333333334
