task,size,n_pairs,acc_seedmean,acc_singleseed,err,err_small_unstable,err_tgt_unstable,err_any_unstable,err_stable,share_err_any_unstable,share_err_small_unstable
hellaswag,300M,299,0.862876254180602,0.842809364548495,41,16,10,23,18,0.5609756097560976,0.3902439024390244
hellaswag,530M,299,0.9163879598662207,0.903010033444816,25,8,10,13,12,0.52,0.32
hellaswag,750M,299,0.9163879598662207,0.9108138238573023,25,12,7,17,8,0.68,0.48
mmlu,4M,300,0.48333333333333334,0.4955555555555555,155,107,14,113,42,0.7290322580645161,0.6903225806451613
mmlu,6M,300,0.7566666666666667,0.6855555555555555,73,54,11,56,17,0.7671232876712328,0.7397260273972602
mmlu,8M,300,0.8066666666666666,0.7444444444444445,58,44,14,47,11,0.8103448275862069,0.7586206896551724
mmlu,10M,300,0.84,0.7655555555555555,48,40,9,43,5,0.8958333333333334,0.8333333333333334
mmlu,14M,300,0.86,0.7933333333333333,42,24,8,27,15,0.6428571428571429,0.5714285714285714
mmlu,16M,300,0.8533333333333334,0.818888888888889,44,34,11,36,8,0.8181818181818182,0.7727272727272727
mmlu,20M,300,0.8433333333333334,0.8077777777777777,47,25,12,29,18,0.6170212765957447,0.5319148936170213
mmlu,60M,300,0.8433333333333334,0.8377777777777777,47,31,16,35,12,0.7446808510638298,0.6595744680851063
mmlu,90M,300,0.9033333333333333,0.8666666666666667,29,17,13,22,7,0.7586206896551724,0.5862068965517241
mmlu,150M,300,0.9133333333333333,0.8833333333333333,26,14,14,20,6,0.7692307692307693,0.5384615384615384
mmlu,300M,300,0.9033333333333333,0.8955555555555554,29,14,13,22,7,0.7586206896551724,0.4827586206896552
mmlu,530M,300,0.9533333333333334,0.941111111111111,14,7,7,10,4,0.7142857142857143,0.5
mmlu,750M,300,0.9366666666666666,0.9144444444444444,19,11,11,16,3,0.8421052631578947,0.5789473684210527
openbookqa,4M,300,0.5066666666666667,0.5211111111111111,148,122,53,135,13,0.9121621621621622,0.8243243243243243
openbookqa,6M,300,0.6233333333333333,0.54,113,83,45,95,18,0.8407079646017699,0.7345132743362832
openbookqa,8M,300,0.6933333333333334,0.5877777777777778,92,72,37,81,11,0.8804347826086957,0.782608695652174
openbookqa,10M,300,0.5866666666666667,0.53,124,104,46,114,10,0.9193548387096774,0.8387096774193549
openbookqa,14M,300,0.7066666666666667,0.6111111111111112,88,70,43,77,11,0.875,0.7954545454545454
openbookqa,16M,300,0.6566666666666666,0.5833333333333334,103,67,41,83,20,0.8058252427184466,0.6504854368932039
openbookqa,20M,300,0.6933333333333334,0.6366666666666667,92,74,43,84,8,0.9130434782608695,0.8043478260869565
openbookqa,60M,300,0.69,0.6633333333333333,93,70,47,84,9,0.9032258064516129,0.7526881720430108
openbookqa,90M,300,0.7933333333333333,0.7122222222222222,62,42,34,57,5,0.9193548387096774,0.6774193548387096
openbookqa,150M,300,0.8166666666666667,0.7377777777777778,55,34,30,46,9,0.8363636363636363,0.6181818181818182
openbookqa,300M,300,0.8233333333333334,0.7933333333333333,53,38,32,48,5,0.9056603773584906,0.7169811320754716
openbookqa,530M,300,0.8333333333333334,0.7755555555555554,50,29,30,42,8,0.84,0.58
openbookqa,750M,300,0.7866666666666666,0.7322222222222222,64,35,39,55,9,0.859375,0.546875
piqa,4M,300,0.7133333333333334,0.6688888888888889,86,52,41,68,18,0.7906976744186046,0.6046511627906976
